;Food ;Mines;Oil  ;Clths;Durbl;Chems;Cnsum;Cnstr;Steel;FabPr;Machn;Cars ;Trans;Utils;Rtail;Finan;Other
198005;0,062207778;0,063010345;0,031199487;NaN;0,042252788;0,065972377;0,067096097;0,083375298;0,03612868;0,045658724;0,029404138;0,016003295;0,032675688;0,034954417;0,082326075;0,0594605;0,045688671
198006;0,011137993;0,112350147;0,049044229;NaN;0,01965067;0,009532422;-0,002440822;0,042061087;0,006116026;0,036685233;0,032774493;0,017149279;0,001234015;0,035666934;0,014000649;0,060987029;-0,004944239
198007;0,042922073;0,085537172;0,01135871;NaN;0,090658362;0,078621988;0,079113432;0,136869627;0,128377123;0,098721483;0,127329088;0,124212159;0,123731908;-0,006082642;0,094003977;0,01308732;0,049104698
198008;-0,022006911;0,049344049;0,024263463;-0,032297456;0,004012468;0,014576111;-0,020420309;-0,002268605;-0,011924171;-0,016247153;0,00023289;0,01627855;-0,010240434;-0,015085059;-0,024069093;0,008409703;0,025648717
198009;-0,024862235;0,10289208;0,06240395;0,012778902;0,016810667;0,00794417;0,001076916;-0,006201312;0,049198623;0,050072217;0,011146113;0,006635289;0,029228222;-0,01002315;-0,021860273;0,02582043;-0,006951012
198010;-0,023960402;-0,00682193;0,066131255;-0,011512708;0,005260497;-0,027245614;-0,030448259;0,046429579;-0,03336873;0,048765605;0,006788231;-0,070949684;-0,00232146;0,015104284;-0,038530828;0,003875714;-0,018389023
198011;-0,028651613;0,071869864;0,228118287;0,017344257;0,080413705;0,079920354;0,046920993;0,072855672;0,036525998;0,16309341;0,093227498;-0,019608515;0,155087578;0,090165679;-0,003282805;0,066010409;0,062173029
198012;0,031496797;-0,082983142;-0,122151363;NaN;-0,031953152;-0,030108528;0,027180107;-0,047045605;-0,052674864;-0,043422992;-0,028884898;-0,009650777;-0,002414246;-0,042387923;0,010785682;0,023052442;-0,024539934
198101;0,016458103;-0,097137563;-0,114796344;NaN;-0,028526179;0,009015747;-0,026532224;-0,046383582;-0,01715672;-0,079155477;-0,090188554;-0,045684576;-0,059489388;-0,042974816;-0,016518645;-0,056090911;-0,017295315
198102;0,021375933;-0,04923831;-0,016067302;NaN;0,089198907;0,036271685;0,023083318;0,035840724;0,015792322;0,005391984;0,007582525;0,063708164;-0,033440265;-0,025995984;0,020011747;-0,002736531;0,024175539
